Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,16,E-,6,Ground,15,E-,5,112180.742160563,6.13478826345275E-8,459291.492459121,347110.750298558,0.000572247011629168,8.54842004242606E-10,0,"sR10,6(15)",v=0 16 12  5 - v=0 15 10  6
AsymmetricTop,Ground,42,O-,5,Ground,41,O-,4,112205.765433612,3.75585660853777E-10,1173987.92022366,1061782.15479005,0.0185480513878155,1.07643104995802E-8,0,"sR7,35(41)",v=0 42  9 34 - v=0 41  7 35
AsymmetricTop,Ground,24,O+,6,Ground,23,O+,5,112278.391767207,5.74174284934561E-8,590708.059996357,478429.66822915,0.00258545032235768,2.60789439692091E-9,0,"sR9,14(23)",v=0 24 11 13 - v=0 23  9 14
AsymmetricTop,Ground,24,O-,6,Ground,23,O-,5,112278.39223261,5.74174290870726E-8,590708.059996088,478429.667763478,0.00258545031885322,2.60789442581587E-9,0,"sR9,15(23)",v=0 24 11 14 - v=0 23  9 15
AsymmetricTop,Ground,43,O+,2,Ground,42,O+,1,112852.61713991,3.31014527760782E-10,1072633.2435028,959780.626362893,0.0047671602697925,2.75002561815361E-9,0,"sR1,41(42)",v=0 43  3 40 - v=0 42  1 41
AsymmetricTop,Ground,33,E+,6,Ground,32,E+,5,112955.349995009,9.20141387884024E-9,834239.767274075,721284.417279066,0.00756746567745971,5.68404369301507E-9,0,"sR8,24(32)",v=0 33 10 23 - v=0 32  8 24
AsymmetricTop,Ground,33,E-,5,Ground,32,E-,4,112959.46169312,9.20221122258122E-9,834239.754775512,721280.293082392,0.0075673417644415,5.68457134860518E-9,0,"sR8,25(32)",v=0 33 10 24 - v=0 32  8 25
AsymmetricTop,Ground,43,E-,2,Ground,42,E-,1,112970.161648038,3.31382578741765E-10,1072751.13275467,959780.971106631,0.00476517729124292,2.7574801521301E-9,0,"sR2,41(42)",v=0 43  4 40 - v=0 42  2 41
AsymmetricTop,Ground,35,O+,4,Ground,34,O+,2,113155.545324344,2.31825413995504E-9,803773.124817722,690617.579493378,0.00131622423383012,9.37908330881953E-10,0,"uR3,31(34)",v=0 35  7 28 - v=0 34  3 31
AsymmetricTop,Ground,24,O-,4,Ground,23,O-,2,113269.723358127,4.72429224933983E-9,436599.516708715,323329.793350588,0.0000326610556898293,3.38249366072365E-11,0,"uR3,21(23)",v=0 24  7 18 - v=0 23  3 21
AsymmetricTop,Ground,17,E+,7,Ground,16,E+,6,113277.239424495,6.34493008638884E-8,478021.357113126,364744.117688631,0.000720901839504916,1.04543586046339E-9,0,"sR10,6(16)",v=0 17 12  5 - v=0 16 10  6
AsymmetricTop,Ground,17,E-,6,Ground,16,E-,5,113277.239424498,6.34493008638919E-8,478021.357113126,364744.117688628,0.000720901839504908,1.04543586046345E-9,0,"sR10,7(16)",v=0 17 12  6 - v=0 16 10  7
AsymmetricTop,Ground,28,E-,3,Ground,27,E-,1,113353.483768701,3.45950450163386E-9,526951.135546751,413597.651778051,0.0000705660000815072,6.29631714576963E-11,0,"uR2,26(27)",v=0 28  6 23 - v=0 27  2 26
AsymmetricTop,Ground,25,O+,6,Ground,24,O+,5,113353.96528063,4.75474783771639E-8,618298.434713114,504944.469432484,0.00290194042331567,2.89394185261952E-9,0,"sR9,15(24)",v=0 25 11 14 - v=0 24  9 15
AsymmetricTop,Ground,25,O-,6,Ground,24,O-,5,113353.966301107,4.75474794470795E-8,618298.434712424,504944.468411317,0.00290194041466803,2.89394192215443E-9,0,"sR9,16(24)",v=0 25 11 15 - v=0 24  9 16
AsymmetricTop,Ground,21,E+,4,Ground,20,E+,1,113521.521347697,5.63605765520484E-10,332514.592011125,218993.070663428,1.11066487597359E-6,1.31950343131062E-12,0,"wR0,20(20)",v=0 21  6 15 - v=0 20  0 20
AsymmetricTop,Ground,28,O-,3,Ground,27,O-,1,113763.311722646,1.32844915853844E-9,504062.908643798,390299.596921152,0.0000203809679070425,1.83830666455067E-11,0,"uR1,27(27)",v=0 28  5 24 - v=0 27  1 27
AsymmetricTop,Ground,34,E+,6,Ground,33,E+,5,113947.444351901,6.52321335399225E-9,871892.863245775,757945.418893873,0.00822257041676231,6.15649614439262E-9,0,"sR8,25(33)",v=0 34 10 24 - v=0 33  8 25
AsymmetricTop,Ground,34,E-,5,Ground,33,E-,4,113954.098270088,6.52411986295293E-9,871892.84048365,757938.742213562,0.00822234969597835,6.15740943668856E-9,0,"sR8,26(33)",v=0 34 10 25 - v=0 33  8 26
AsymmetricTop,Ground,18,E+,7,Ground,17,E+,6,114372.67218351,6.29247535595657E-8,497855.541785397,383482.869601887,0.000882627765390859,1.24624663569259E-9,0,"sR10,7(17)",v=0 18 12  6 - v=0 17 10  7
AsymmetricTop,Ground,18,E-,6,Ground,17,E-,5,114372.672183522,6.2924753559585E-8,497855.541785397,383482.869601874,0.00088262776539086,1.246246635693E-9,0,"sR10,8(17)",v=0 18 12  7 - v=0 17 10  8
AsymmetricTop,Ground,26,O+,6,Ground,25,O+,5,114425.813668949,3.86393340987409E-8,646998.889678665,532573.076009716,0.00324008439923995,3.19826035886916E-9,0,"sR9,16(25)",v=0 26 11 15 - v=0 25  9 16
AsymmetricTop,Ground,26,O-,6,Ground,25,O-,5,114425.815829287,3.86393359259487E-8,646998.889676965,532573.073847678,0.00324008437873834,3.19826051977989E-9,0,"sR9,17(25)",v=0 26 11 16 - v=0 25  9 17
AsymmetricTop,Ground,36,E+,4,Ground,35,E+,2,114586.460936781,1.39620265336729E-9,819516.96373352,704930.502796739,0.000924032720144334,6.65006273307253E-10,0,"uR2,33(35)",v=0 36  6 30 - v=0 35  2 33
AsymmetricTop,Ground,25,O-,4,Ground,24,O-,2,114783.614049219,4.44461244719248E-9,464305.612560643,349521.998511423,0.0000412616953420597,4.27245906038016E-11,0,"uR3,22(24)",v=0 25  7 19 - v=0 24  3 22
AsymmetricTop,Ground,36,O+,4,Ground,35,O+,2,114872.83987727,1.67067188269892E-9,844051.318603631,729178.47872636,0.00147363974647393,1.06851807645582E-9,0,"uR3,32(35)",v=0 36  7 29 - v=0 35  3 32
AsymmetricTop,Ground,35,E+,6,Ground,34,E+,5,114927.099949498,4.55060924789313E-9,910668.113498287,795741.013548789,0.0089147200453945,6.65545939464129E-9,0,"sR8,26(34)",v=0 35 10 25 - v=0 34  8 26
AsymmetricTop,Ground,35,E-,5,Ground,34,E-,4,114937.691839752,4.55160663292004E-9,910668.072823521,795730.380983768,0.00891433357250677,6.65701109320331E-9,0,"sR8,27(34)",v=0 35 10 26 - v=0 34  8 27
AsymmetricTop,Ground,19,E+,7,Ground,18,E+,6,115466.879063521,6.0285417071569E-8,518794.486533559,403327.607470038,0.00105808071158295,1.45843744653002E-9,0,"sR10,8(18)",v=0 19 12  7 - v=0 18 10  8
AsymmetricTop,Ground,19,E-,6,Ground,18,E-,5,115466.879063563,6.02854170716277E-8,518794.486533559,403327.607469996,0.00105808071158287,1.45843744653152E-9,0,"sR10,9(18)",v=0 19 12  8 - v=0 18 10  9
AsymmetricTop,Ground,27,O+,6,Ground,26,O+,5,115493.576131121,3.08309707290008E-8,676810.193720348,561316.617589227,0.00360066241598157,3.52171767331837E-9,0,"sR9,17(26)",v=0 27 11 16 - v=0 26  9 17
AsymmetricTop,Ground,27,O-,6,Ground,26,O-,5,115493.580559994,3.08309736963098E-8,676810.193716321,561316.613156327,0.00360066236911536,3.5217180326254E-9,0,"sR9,18(26)",v=0 27 11 17 - v=0 26  9 18
AsymmetricTop,Ground,31,E+,3,Ground,30,E+,1,115583.680031118,6.299710180466E-10,594292.067527155,478708.387496038,0.0000272755012703839,2.33444194647613E-11,0,"uR0,30(30)",v=0 31  4 27 - v=0 30  0 30
AsymmetricTop,Ground,29,O-,5,Ground,29,O+,3,115840.829333225,3.26123210836978E-10,654248.922655046,538408.093321821,0.0000288072219796558,2.65030389938116E-11,0,"uQ5,24(29)",v=0 29  9 21 - v=0 29  5 24
AsymmetricTop,Ground,36,E+,6,Ground,35,E+,5,115892.962346576,3.12412858961919E-9,950566.873925974,834673.911579398,0.00964538209530507,7.18173047477634E-9,0,"sR8,27(35)",v=0 36 10 26 - v=0 35  8 27
AsymmetricTop,Ground,36,E-,5,Ground,35,E-,4,115909.56037823,3.12519149436161E-9,950566.802532307,834657.242154077,0.00964471614555449,7.18432052559007E-9,0,"sR8,28(35)",v=0 36 10 27 - v=0 35  8 28
AsymmetricTop,Ground,34,O+,3,Ground,33,O+,1,115978.463740828,1.05785077466605E-9,721040.56506864,605062.101327811,0.000207541846518814,1.63851331396242E-10,0,"uR1,32(33)",v=0 34  5 29 - v=0 33  1 32
AsymmetricTop,Ground,29,E-,3,Ground,28,E-,1,116251.576661439,2.6163745000013E-9,559259.401636129,443007.82497469,0.000073193276191765,6.80576680554251E-11,0,"uR2,27(28)",v=0 29  6 24 - v=0 28  2 27
AsymmetricTop,Ground,26,O-,4,Ground,25,O-,2,116386.092010986,4.04834066757032E-9,493136.5405033,376750.448492315,0.0000510583899874355,5.3034177480852E-11,0,"uR3,23(25)",v=0 26  7 20 - v=0 25  3 23
AsymmetricTop,Ground,22,E+,4,Ground,21,E+,1,116441.843645647,5.24825203261604E-10,356909.500169024,240467.656523377,1.2893494931037E-6,1.57959842886912E-12,0,"wR0,21(21)",v=0 22  6 16 - v=0 21  0 21
AsymmetricTop,Ground,28,O+,6,Ground,27,O+,5,116556.870860992,2.41656070580245E-8,707733.147649683,591176.27678869,0.00398446777243768,3.86518633537126E-9,0,"sR9,18(27)",v=0 28 11 17 - v=0 27  9 18
AsymmetricTop,Ground,28,O-,6,Ground,27,O-,5,116556.879676571,2.41656116542521E-8,707733.147640472,591176.267963901,0.00398446766881145,3.86518711185747E-9,0,"sR9,19(27)",v=0 28 11 18 - v=0 27  9 19
AsymmetricTop,Ground,20,E+,7,Ground,19,E+,6,116559.687293209,5.60631149996942E-8,540838.65615616,424278.968862951,0.00124790188278476,1.68307332881803E-9,0,"sR10,9(19)",v=0 20 12  8 - v=0 19 10  9
AsymmetricTop,Ground,20,E-,6,Ground,19,E-,5,116559.687293345,5.60631149998661E-8,540838.65615616,424278.968862814,0.0012479018827844,1.68307332882348E-9,0,"sR10,10(19)",v=0 20 12  9 - v=0 19 10 10
