Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,30,E+,3,Ground,30,E-,2,16631.4937537098,6.4050382616244E-8,5360960.87578158,5344329.38202787,0.293553772499976,7.73059525360564E-10,0,"qQ4,27(30)",v=0 30  4 26 - v=0 30  4 27
AsymmetricTop,Ground,7,O+,1,Ground,7,O-,1,16773.9177572125,2.23053574978572E-7,329579.351327179,312805.433569967,0.0898400978161081,9.87060604691821E-10,0,"qQ1,7(7)",v=0  7  1  6 - v=0  7  1  7
AsymmetricTop,Ground,14,E+,2,Ground,14,E-,1,17213.0064650071,2.77600068805794E-7,1225968.12406388,1208755.11759887,0.163238780069096,1.00243650109083E-9,0,"qQ2,13(14)",v=0 14  2 12 - v=0 14  2 13
AsymmetricTop,Ground,13,E+,1,Ground,12,E+,2,17263.0172699507,1.00276449261305E-8,951257.841602893,933994.824332942,0.00513830746648213,3.41875337698071E-11,0,"oR2,10(12)",v=0 13  0 13 - v=0 12  2 10
AsymmetricTop,Ground,7,E+,2,Ground,8,E+,1,17442.6353908202,5.25566195142599E-9,396793.198341299,379350.562950479,0.00202149542885476,2.49734847043512E-11,0,"sP0,8(8)",v=0  7  2  5 - v=0  8  0  8
AsymmetricTop,Ground,22,O+,2,Ground,22,O-,2,17919.1171044311,1.84894519640139E-7,2928220.53443341,2910301.41732898,0.227055677139843,1.01375032892836E-9,0,"qQ3,20(22)",v=0 22  3 19 - v=0 22  3 20
AsymmetricTop,Ground,39,O+,3,Ground,39,O-,3,18024.3987398129,1.58101975780572E-8,8945087.89897889,8927063.50023908,0.344455563344202,8.91558418358858E-10,0,"qQ5,35(39)",v=0 39  5 34 - v=0 39  5 35
AsymmetricTop,Ground,21,E+,3,Ground,22,E+,2,18356.744782228,3.45653085946531E-9,2851383.13137022,2833026.38658799,0.00389789251431951,1.95798674266699E-11,0,"sP2,20(22)",v=0 21  4 17 - v=0 22  2 20
AsymmetricTop,Ground,32,O+,2,Ground,31,O+,3,18425.9320224822,1.43816555184215E-9,5914690.38839952,5896264.45637704,0.00700171088639442,2.35310087287577E-11,0,"oR5,26(31)",v=0 32  3 29 - v=0 31  5 26
AsymmetricTop,Ground,48,E+,4,Ground,48,E-,3,18587.7443917338,2.23140310924206E-9,13443303.4535062,13424715.7091145,0.395858403534176,9.15186369730395E-10,0,"qQ6,43(48)",v=0 48  6 42 - v=0 48  6 43
AsymmetricTop,Ground,21,E+,1,Ground,20,E+,2,19508.580749549,3.92977989607501E-9,2385548.4433375,2366039.86258795,0.00313678078392084,1.89127235188808E-11,0,"oR2,18(20)",v=0 21  0 21 - v=0 20  2 18
AsymmetricTop,Ground,18,O+,1,Ground,17,O+,2,20309.8317592593,1.09877106901041E-8,1872356.59007826,1852046.758319,0.00632432806503929,5.00026449483875E-11,0,"oR3,14(17)",v=0 18  1 17 - v=0 17  3 14
AsymmetricTop,Ground,2,O-,1,Ground,1,O-,1,20600,2.1373657468288E-6,55600,35000,0.5,3.05255146586102E-8,0,"qR1,1(1)",v=0  2  1  2 - v=0  1  1  1
AsymmetricTop,Ground,31,E+,3,Ground,31,E-,2,20733.9933337476,8.00426103907198E-8,5695541.58254643,5674807.58921268,0.276880122758684,1.36792229156569E-9,0,"qQ4,28(31)",v=0 31  4 27 - v=0 31  4 28
AsymmetricTop,Ground,2,E+,1,Ground,1,E+,1,21189.0700350621,3.04988361460414E-6,31789.0700350621,10600,0.666592931530563,4.42881687097758E-8,0,"qR0,1(1)",v=0  2  0  2 - v=0  1  0  1
AsymmetricTop,Ground,14,E+,1,Ground,13,E+,2,21281.6470867847,1.46188040599486E-8,1095736.08420312,1074454.43711634,0.00527776280172909,6.12532187068825E-11,0,"oR2,11(13)",v=0 14  0 14 - v=0 13  2 11
